bill_id,date,vendor,project,category_code,currency,amount,description
B-1001,2026-05-03,Helios Energy,ALFA-01,FUEL,EUR,4200.0,Fuel May 2026
B-1002,2026-05-05,Nordic Provisions,ALFA-01,PROV,EUR,1800.0,Provisions May 2026
B-1003,2026-05-07,TechServ Ltd,ALFA-01,REP,EUR,2600.0,Repairs May 2026
B-1004,2026-05-09,GlobalTrip,ALFA-01,TRV1,EUR,1500.0,Travel May 2026
B-1005,2026-05-11,Portline Agency,ALFA-01,AGY,USD,2200.0,Agency fees May 2026
B-1006,2026-05-13,SafeSure Insurance,ALFA-01,INS,EUR,3100.0,Insurance May 2026
B-1007,2026-05-15,ConnectCom,ALFA-01,COMM,EUR,420.0,Communication May 2026
B-1008,2026-05-17,Harbour Services,ALFA-01,PORT,USD,1900.0,Port charges May 2026
B-1009,2026-05-19,OfficePlus,ALFA-01,OFF,EUR,650.0,Office May 2026
B-1010,2026-05-06,Nordic Provisions,BETA-02,FUEL,EUR,4494.0,Fuel May 2026
B-1011,2026-05-08,TechServ Ltd,BETA-02,PROV,EUR,1926.0,Provisions May 2026
B-1012,2026-05-10,GlobalTrip,BETA-02,REP,EUR,2782.0,Repairs May 2026
B-1013,2026-05-12,Portline Agency,BETA-02,TRV1,EUR,1605.0,Travel May 2026
B-1014,2026-05-14,SafeSure Insurance,BETA-02,AGY,USD,2354.0,Agency fees May 2026
B-1015,2026-05-16,ConnectCom,BETA-02,INS,EUR,3317.0,Insurance May 2026
B-1016,2026-05-18,Harbour Services,BETA-02,COMM,EUR,449.4,Communication May 2026
B-1017,2026-05-20,OfficePlus,BETA-02,PORT,USD,2033.0,Port charges May 2026
B-1018,2026-05-22,Meridian Repairs,BETA-02,OFF,EUR,695.5,Office May 2026
B-1019,2026-05-09,TechServ Ltd,GAMMA-03,FUEL,EUR,4788.0,Fuel May 2026
B-1020,2026-05-11,GlobalTrip,GAMMA-03,PROV,EUR,2052.0,Provisions May 2026
B-1021,2026-05-13,Portline Agency,GAMMA-03,REP,EUR,2964.0,Repairs May 2026
B-1022,2026-05-15,SafeSure Insurance,GAMMA-03,TRV1,EUR,1710.0,Travel May 2026
B-1023,2026-05-17,ConnectCom,GAMMA-03,AGY,USD,2508.0,Agency fees May 2026
B-1024,2026-05-19,Harbour Services,GAMMA-03,INS,EUR,3534.0,Insurance May 2026
B-1025,2026-05-21,OfficePlus,GAMMA-03,COMM,EUR,478.8,Communication May 2026
B-1026,2026-05-23,Meridian Repairs,GAMMA-03,PORT,USD,2166.0,Port charges May 2026
B-1027,2026-05-25,Helios Energy,GAMMA-03,OFF,EUR,741.0,Office May 2026
